sentence,label
Though the daughter was not entitled to immediate possession of the property it was indicated with certainty that she should get the entire estate at the proper time,Ratio of the decision
and she thus got an interest in it on the testator's death,Ratio of the decision
She was given a present right of future enjoyment in the property,Ratio of the decision
"According to Jarman (Jarman on Wills), the law leans in favour of vesting of estates and the property disposed of belongs to the object of the gift when the will takes effect and we think the daughter got under this will a vested interest in the testator's properties on his death",Ratio of the decision
"It was strenuously argued by Mr. K. S. Krishnaswami Iyengar that Lakshminarayana Iyer was a Brahmin gentleman presumably versed in the sastras, living in a village in the southernmost part of the Madras State, that his idea of a restricted estate was more likely to be one analogous to a Hindu woman's estate than a life estate a,-, understood in English law wherein the estate is measured by use and not by duration, and that if this will was construed in the light of the notions of Lakshminarayana Iyer it should be held that the widow got under it a Hindu widow's estate and the daughter got under it a contingent remainder in the nature of spes and on her death there was nothing which could devolve on the plaintiff and he thus had no locus standi to question the alienations made by the widow",Argument
The learned counsel in support of his contention drew our attention to a number of decisions of different High Courts and contended that the words of this will should be construed in the manner as more or less similar words were construed by the courts in the wills dealt with in those decisions,Argument
This rule of construction by analogy is a dangerous one to follow in construing wills differently worded and executed in different surroundings,Ratio of the decision
Vide Sasiman v. Shib Narain 491,Ratio of the decision
A. 2 5,Ratio of the decision
"However, out of respect for learned counsel on both sides who adopted the same method of approach we proceed to examine some of the important cases referred to by them",Ratio of the decision
Mr. Krishnaswami Iyengar sought to derive the greatest support for his contention from the decision in Ram Bahadur v. Jager,Precedent
Nath Prasad 3 Pat,Precedent
L. J. 199,Precedent
"The will there recited that if a daughter or son was born to the testator during his lifetime, such son or daughter would be the owner of all his properties but if there was no son or daughter, his niece S. would get a bequest of a lakh of rupees, and the rest of the movable and immovable properties would remain in possession of his wife until her death, and after her these would remain in possession of his niece",Precedent
"The remainder was disposed of in the following words: - ""If on the death of my wife and my niece there be living a son and a daughter born of the womb of my said brother's daughter, then two-thirds of the movable property will belong to the son and one-third to the daughter",Precedent
But as regards the immovable property none shall have the lest right of alienation,Precedent
They will of course be entitled to enjoy the balance left after payment of rent,Precedent
This will was construed as conveying an absolute estate to the son and the daughter of the niece,Precedent
It was remarked that in spite of an,Precedent
"express restriction against alienation, the estate taken by S. (the niece) was an estate such as a woman ordinarily acquires by inheritance under the Hindu law which she holds in a completely representative character but is unable to alienate except in case of legal necessity and that such a construction was in accordance with the ordinary notions that a Hindu has in regard to devolution of his property",Precedent
The provisions contained in this will bear no analogy to those we have to construe,Ratio of the decision
"The restraint against alienation was repugnant to both a life estate and a widow',-, estate and was not, therefore, taken into account",Ratio of the decision
But there were other indications in that will showing that a widow's estate had been given,Ratio of the decision
The fact that the gift over was a contingent bequest was by itself taken as a sure indication that the preceding bequest was that of a widow's estate,Ratio of the decision
There is no such indication in the will before us,Ratio of the decision
Reliance was next placed on the decision in Pavani Subbamma v. Ammala Rama Naidu (1937,Precedent
1 M.L.J. 268,Precedent
1936 Indlaw MAD 236,Precedent
"Under the will there dealt with, the widow S, was to enjoy the properties and after her lifetime the properties were to be taken in the ratio of three to five by the son's daughter and the daughter's son respectively",Precedent
"A suit was instituted by the son's daughter for the recovery of possession of her share in one item of property forming, part of the estate which had been sold by S",Precedent
The question for decision in that case was whether S. was at all entitled to sell anything more than her life interest even for purposes of meeting a necessity binding upon the estate,Precedent
"Varadachari J. held that since in the will the gift over to the grand-children was of the entire Properties, and not a mere gift by way of defeasance, it had to be held that it indicated that the prior gift in favour of the widow was only of a limited interest",Precedent
"This decision therefore goes against the contention of the learned counsel but he placed reliance on the observations made in the judgment when the learned Judge proceeded to say: ""In deference to the view taken in Maharaja of Kolhapur v. sundaram Iyer (1925) I.L.R. 48 Mad",Ratio of the decision
"1, it may be possible to create an interest analogous to a woman's estate in Hindu law notwithstanding the addition of a gift over and that the estate taken by S. need not necessarily be only a life estate in the English law sense of the term",Ratio of the decision
We do not understand how such passing observations can be helpful in deciding the present case,Ratio of the decision
"Assuming that it is possible to create a Hindu woman's estate not with standing the addition of a gift over, the question nevertheless whether that had been done in a given case must depend on the terms of the particular instrument under consideration",Ratio of the decision
"The following remarks in the Privy Council decision in Nathu, Ram Mahajan v. Gangayabai (1938",Precedent
"2 M.L.J. 562 were next cited:-- ""As the will gave her the right to 'enjoy' the income of the estate during her lifetime, it was evidently contemplated that she should, as provided by -the Hindu law in the case of a widow, be in possession of the estate",Precedent
Such casual observation made in respect of a will couched in entirely different terms cannot afford much assistance in the decision of the case,Ratio of the decision
In Vasantharao Ammannamma v. Venkata Kodanda Rao Pantalu 1939,Precedent
Indlaw MAD 621 (1940,Precedent
"M.L.J. 188, the next case cited, a Hindu testator who was a retired subordinate judge provided by his will as follows: ""Out, of the aforestated ancestral lands, the oneninth share to which I am entitled shall be enjoyed after my death by my wife till her death, and after her death it shall pass to S. son of my second elder brother deceased",Precedent
My self-acquired properties shall on my death be enjoyed by my wife till her death and after her death they shall pass to my daughter,Precedent
Thereafter they shall pass to my grandson through my daughter,Precedent
"The will was construed as giving the self-acquired properties ultimately to the grandsons, and the estate of the daughter was likened to an estate which she would take- under the law of inheritance, that is a limited estate analogous to a widow's estate",Precedent
"At page 193 of the report it was observed as follows: ""The question therefore arises, did he intend to confer only a life estate or a daughter's estate",Precedent
It seems to us that he meant to give a daughter's estate rather than a life estate,Precedent
He omits the words 'during her life' with reference to the disposition in favour of the daughter,Precedent
"The words 'pass to my daughter' would rather indicate that in the ordinary course of devolution the estate should pass to her, that is, the daughter and then to the grandsons",Precedent
"The words used in favour of the grandsons seem to indicate that the estate conferred on the daughter was not a life estate because there is no direct gift in favour of the grandsons, but on the other hand, what he says is that through his daughter the estate shall pass to his grandsons",Precedent
"Either he must have intended that the daughter should convey the property either by will or inter vivos to the grandsons or she having taken the estate, through her it should pass to the grandsons in the ordinary course of devolution",Precedent
"If it was the daughter's estate that was intended to be conferred, there can be no question that the estate taken by the grandsons is not a vested interest",Precedent
This line of reasoning which appealed to the learned judges is not of much he]-) to us here as the language hi this will is quite different,Ratio of the decision
"If the same line of reasoning is adopted here, the decision of the case would go against the client of Mr. K. S. K. Iyengar because in the will in this case the widow's estate is delimited by the words ""till your lifetime",Ratio of the decision
Reliance was next placed on Maharaja of Kolhapur v. sundaram Iyer (1925) I.L.R. 48 Mad,Precedent
That was a case of a government grant on the special terms set out therein and the question arose as to the nature of the grant,Precedent
"There it was said that: ""the widows of Sivaji Raja got the gift of a life estate very much resembling the ordinary estate of a Hindu widow and with all the incidents of a widow's estate except the liability to be divested, but nevertheless a life estate rather than an estate of inheritance",Precedent
These remarks do not throw much light on the point before us,Ratio of the decision
"The last decision referred to was the decision of the Privy Council in Mahomed Shumsool v. Shewukram 1874 Indlaw PC 12 (1874-75) 2 I.A. 7 There a Hindu inhabitant of Bihar by a document of a testamentary character declared his daughter who had two daughters, as his heir, and after her two daughters together with their children were declared heirs and malik",Precedent
"One daughter of the daughter predeceased the testator without issue and the other daughter died after the death of the testator leaving an only son, the respondent in that case",Precedent
"In a suit by the respondent against his grandmother the daughter of the 'testator for a declaratory order preserving unmolested his future right and title to the said lands, it was held that the daughter took an estate subject to her daughters succeeding her",Precedent
"In this judgment the following observations were emphasized as relevant to this enquiry:- ""It has been contended that these latter expressions qualify the generality of the former expressions, and that the will, taken as a whole, must be construed as intimating the intention of the testator that Mst",Precedent
"Rani Dhun Kaur should not take an absolute estate, but that she should be succeeded in her estate by her two daughters",Precedent
"In other words, that she should take an estate very much like the ordinary estate of a Hindu widow",Precedent
In construing the will of a Hindu it is not improper to take into consideration what are known to be the ordinary notions and wishes of Hindus with respect to the devolution of property,Precedent
"It may be assumed that a Hindu generally desires that an estate, especially an ancestral estate, shall be retained in his family; and it may be assumed that a Hindu knows that, as a general rule, at all events, women do not take absolute estates of inheritance which they are enabled to alienate",Precedent
These observations are unexceptionable but it may also be pointed out that it is open to a Hindu to confer a limited life estate on his widow or even a larger estate than a widow takes as an heir and that in every case he may not confer upon her by will a Hindu widow's estate which she would otherwise get by inheritance,Ratio of the decision
"Generally speaking, there will be no point in making a will if what is to be given to a widow is what she would get on intestacy and cases do arise where a Hindu wishes to give to his widow a more restricted estate than she would get on intestacy or a much larger estate than that",Ratio of the decision
The question in every case cannot be determined merely on the theory that every Hindu thinks only about a Hindu widow's estate and no more,Ratio of the decision
What is given must be gathered from the language of the will in the light of the surrounding circumstances,Ratio of the decision
The learned counsel for the respondent followed the line adopted by Mr. Krishnaswami Iyengar,Argument
He also on the analogy of other wills and the decisions given on their terms wanted a decision on the construction of this will in his favour,Argument
"In the first instance, he placed reliance on a decision of the Madras High Court in Ratna Chetty v. Narayana swami Chetty (19I4",Precedent
26 M.L.J. 616,Precedent
"There the testator made a will in favour of his wife providing, inter alia",Precedent
"all my properties shall after my death be in possession of my wife herself and she herself should be heir to everything and Mutha Arunachala Chetty (nephew) and my wife, should live together amicably as of one family",Precedent
"If the two could not agree and live together amicably, my wife would pay Rs",Precedent
"4,000 and separate him",Precedent
and then my wife would enjoy all the remaining properties with absolute rights,Precedent
"If both of them would live together amicably, Muthu Arunachala Chetty himself would enjoy the properties which remain after the death of the widow",Precedent
"It was held upon the construction of the will that the nephew, who lived amicably with the widow till his death, had a vested interest at testator's death which could not be defeated by a testamentary disposition by the widow in favour of a stranger",Precedent
This decision only decides that case and is not very relevant in this enquiry,Ratio of the decision
Reference was also made to the decision of their Lordships of the Privy Council in Mst,Precedent
Bhagwati Devi v. Chowdry Bholonath Thakur (1874-75) 2 I.A 256,Precedent
This was a case of a gift inter vivos,Precedent
The gift to Mst,Precedent
"Chunderbutti, his wife, was in these terms: ""the remaining 'milkiut' and 'minhai ' 'estates, together with the amount of ready money, articles, slaves, and all household furniture I have placed in the possession of Mst",Precedent
"Chunderbutti Thakurain, my wife, to be enjoyed during her lifetime, in order that she may hold possession of all the properties and milkiut possessed by me, the declarant, during her lifetime, and by the payment of Government revenue, appropriate the profits derived therefrom, but that she should not by any means transfer the milkiut estates and the slaves; that after the death of my aforesaid wife the milkiut and household furniture shall devolve on Girdhari Thakur, my karta (adopted son",Precedent
The subordinate judge held that Chunderbutti got an estate for life with the power to appropriate profits and Girdhari got a vested remainder on her death,Precedent
The High Court took a different view and held that Chunderbutti took the estate in her character as a Hindu widow,Precedent
"The Privy Council on this will held as follows: ""Their Lordships do not feel justified, upon mere conjecture of what might probably have been intended, in so interpreting it as materially to change the nature of the estate taken by Chunderbutti",Precedent
"If she took the estate only of a Hindu widow, one consequence, no doubt, would be that she would be unable to alienate the profits, or that at all events, whatever she purchased out of them would be an increment to her husband's estate, and the plaintiffs would be entitled to recover possession of all such property, real and personal",Precedent
"But, on the other hand, she would have certain rights as a Hindu widow; for example, she would have the right under certain circumstances, if the estate were insufficient to defray the funeral expenses or her maintenance, to alienate it altogether",Precedent
"She certainly would have the power of selling her own estate; and it would further follow that Girdhari would not be possessed in any sense of a vested remainder, but merely of a contingent one",Precedent
"It would also follow that she would completely represent the estate, and under certain circumstances the statute of limitations might run against the heirs to the estate, whoever they might be",Precedent
Their Lordships see no sufficient reason for importing into this document words which would carry with them all these consequences and they agree with the subordinate judge in construing it according to its plain meaning,Precedent
These observations have to a certain extent relevance to the present case but on the facts this case is also distinguishable,Ratio of the decision
This will was couched in different language than the will in the present case,Ratio of the decision
"There was a clear prohibition, forbidding the widow to make any transfers of the milkiuit estates and the slaves",Ratio of the decision
Reference was also made to a decision of the Bombay High Court in Lallu v. Jagmohan (1898) I.L.R,Precedent
22 Bom,Precedent
The will there ran as follows,Precedent
"When I die, my wife named Suraj' is owner of that property",Precedent
"And my wife has powers to do in the same way as I have absolute powers to do when I am present, and in case of my wife's death, my daughter Mahalaxmi is owner of the said property after that",Precedent
"It was held that Suraj took only a life estate under the will, with remainder over to Mahalaxmi after her death and the bequest to Mahalaxmi was not contingent on her surviving Suraj, but that she took a vested remainder which upon her death passed to her heirs",Precedent
"After considering the rival contentions of the parties, we are of the opinion that no sufficient grounds have been made out for disturbing the unanimous opinion of the two courts below on the construction of this will",Ruling by Present Court
Both the learned counsel eventually conceded that the language used in the will was consistent with the testator's intention of conferring a life estate in the English sense as well as with the intention of conferring a Hindu widow's estate,Ratio of the decision
"It was, however, urged by Mr. Rajah Iyer that as no express or implied power of alienation for purposes of all legal necessities was conferred on the widow, that circumstance negatived the view that the testator intended to confer upon his widow a Hindu widow's estate as she would get in case of intestacy",Argument
"He also emphasized that the words of the gift over to the daughter as supporting his construction which was further reinforced by the words of the will limiting the widow's estate "" till your lifetime "" and of the omission from therein of words such as nialik etc., while describing the widow's estate",Argument
"Mr. Krisbnaswami lyengar, on the other hand, contended that the absence of any words in the will restricting her powers of alienation and putting a restraint on them, suggested a contrary intention and that the daughter's estate was described as coming into being after the estate of the widow and was not conferred on her simultaneously with the widow, and this connoted according to the notions of Hindus a full Hindu widow's estate",Argument
"In our judgment, there is force in the contention of Mr. Rajah Iyer for reasons already stated and in the result, therefore, we dismiss this appeal with costs",Ruling by Present Court
Appeal dismissed,Ruling by Present Court
This is an appeal on a certificate u/art,Facts
133(1) of theConstitution from a judgment and decree passed by the Appellate Bench of the High Court of Calcutta,Facts
modifying on appeal the judgment and decree passed by Mr. Justice Bose on the original side of that court,Facts
One Dwarka Nath Ghose was the owner of considerable moveable and immoveable properties,Facts
"On the 10th June, 1891, he made and published his last will and testament whereby he dedicated to this family idol",Facts
"Shree Shree Iswar Sridhar Jew his two immoveable properties, to wit",Facts
premises,Facts
No. 41 and No. 40/1,Facts
Grey Street in the city of Calcutta,Facts
He appointed his two sons Rajendra and Jogendra executors of Ms will and provided that his second wife Golap Sundari and the two sons Rajendra and jogendra should perform the seva of the deity and on their death their heirs and successors would be entitled to perform the seva,Facts
"Dwarka Nath died on the 16th March, 1892, leaving him surviving his widow Golap Sundari and his two sons Rajendra and Jogendra",Facts
"On the 19th July, 1899, Rajendra made and published his last will and, testament whereby he confirmed the dedication made by Dwarka Nath with regard to premises Nos",Facts
41 and 40/1 Grey Street and appointed his brother Jogendra the sole executor thereof,Facts
"He died on the 31st January,1900, and Jogendra obtained on the 24th April, 1900",Facts
probate of his said will,Facts
"Probate of the will of Dwarka Nath was also obtained by jogendra on the 31st August, 1909",Facts
"On the 4th September 1909, Bhupendra, Jnanendra. and Nagendra, then a minor, the three sons of Rajendra filed a suit, being Suit No",Facts
"969 of 1909,on",Facts
"the original side of the High Court at Calcutta against Jogendra, Golap Sundari and Padma Dassi, the widow of Sidheswar, another son of Rajendra, for the construction of the wills of Dwarka Nath and Rajendra, for partition and other reliefs",Facts
The idol was not made a party to this suit,Facts
"The said suit was compromised and on the 24th November, 1910, a consent decree was passed, whereby jogendra and Golap Sundari gave up their rights to the sevayatship and Bhupendra, Jnanendra and Nagendra became the sevaits of the idol, a portion of the premises",Facts
No,Ruling by Present Court
41 Grey Street was ;allotted to the branch of Rajendra and the remaining portion was allotted to jogendra absolutely and in consideration of a sum of Rs,Facts
"6,500 to be paid to the plaintiffs, jogendra was declared entitled absolutely to the premises",Facts
No. 40/1,Facts
Grey Street,Ratio of the decision
The portions allotted to Jogendra were subsequently numbered 40/2-A Grey Street and the portion of the premises,Facts
41 Grey Street allotted to the branch of Rajendra was subsequently numbered 41-A Grey Street,Facts
"Jogendra died on the 5th August, 1911, leaving a will whereby he appointed his widow Sushilabala the executrix thereof",Facts
"She obtained probate of the will on the 6th August, 1912",Facts
"Disputes arose between Bhupendra, jnanendra and Nagendra, the sons of Rajendra, and one Kedar Nath Ghosh was appointed arbitrator to settle those disputes",Facts
"The arbitrator made his award dated the 12th October, 1920, whereby he allotted premises No. 41-A Grey Street, exclusively to Nagendra as his share of the family properties",Facts
Nagendra thereafter executed several mortgages of the said premises,Facts
"The first mortgage was created by him in favour of Snehalata Dutt on the 19th May, 1926",Facts
"The second mortgage was executed on the 4th June, 1926, and the third mortgage on the 22nd February, 1927",Facts
"On the 23rd February, 1927, Nagendra executed a deed of settlement of the said premises by which he appointed his wife Labanyalata and his wife's brother Samarendra Nath Mitter trustees to carry out the directions therein contained and in pursuance of the deed of settlement he gave up possession of the said premises in favour of the trustees",Facts
"Snehalata Dutt filed in the year 1929 a suit, being Suit No. 1042 of 1929, against Nagendra, the trustees under the said deed of settlement and the puisne mortgagees, for realisation of the mortgage security",Facts
"A consent decree was passed in the said suit on the 9th September, 1929",Facts
"Nagendra died in June, 1931, and the said premises were ultimately put up for sale in execution of the mortgage decree and were purchased on the 9th December, 1936, by Hari Charan Dutt",Facts
Hari Pada,Facts
Dutt and Durga Charan Dutt for a sum of Rs,Facts
"19,000",Facts
"A petition made by the purchasers on the 12th January, 1937, for setting aside the sale was rejected by the court on the 15th March, 1937",Facts
"Haripada Dutt died on the 3rd June, 1941, leaving him surviving his three sons, Pashupati Nath Dutt, Shambhunath Dutt and Kashinath Dutt, the appellants before us",Facts
"Haricharan Dutt conveyed Ms one third share in the premises to them on the 4th March,1944, and Durga Charan Dutt conveyed his one-third share to them on the 3rd May, 1946",Facts
"They thus became entitled to the whole of the premises which had been purchased at the auction sale held on the 9th December, 1936",Facts
"On the 19th July, 1948, the family idol of Dwarka Nath, Sree Sree Iswar Sridhar Jew, by its next friend Debabrata Ghosh, the son of Nagendra, filed the suit, out of which the present appeal arises, against the appellants as, also against Susilabala and the two sons of Jogendra by her, amongst others, for a declaration that the premises Nos",Facts
41-A and 40/2-A,Facts
"Grey Street, were its absolute properties and for possession thereof, for a declaration that the consent decree dated the 24th November, 1910, in Suit No",Facts
"969 of 1909 and the award dated the 12th October, 1920, and the dealings made by the heirs of jogendra",Facts
"and/or Rajendra relating to the said premises or any of them purporting to affect its rights in the said premises were invalid and inoperative in law and not binding on it, for an account of the dealings with the said premises, for a scheme of management of the debutter properties and for its worship, for discovery, receiver, injunction and costs",Facts
Written statements were filed by the appellants and by Susilabala and the two sons of Jogendra denying the claims of the idol and contending inter alia that there was no valid or absolute dedication of the suit properties I to the idol and that the said premises had been respectively acquired by them by adverse possession and that the title of the idol thereto had been extinguished,Facts
The said suit was heard by Mr. Justice Bose who declared the premises,Ruling by Lower Court
No. 41-A,Ruling by Present Court
Grey Street to be the absolute property of the idol and made the other declarations in favour of the idol as prayed for,Ruling by Lower Court
"The idol was declared entitled to possession of the said premises with mesne profits for three years prior to the institution of the suit till delivery of possession, but was ordered to pay as a condition for recovery of possession of the said premises a sum of Rs",Ruling by Lower Court
"19,000 to the appellants with interest thereon at the rate of 6 per cent",Ruling by Lower Court
"per annum from the 19th July, 1945, till payment or till the said sum was deposited in court to the credit of the suit",Ruling by Lower Court
The learned judge however dismissed the suit of the idol in regard to the premises,Ruling by Lower Court
No. 40/2-A,Ruling by Lower Court
"Grey Street as, in his opinion, Sushilabala as executrix to her husband's estate and her two sons had acquired title to the said premises by adverse possession and the title of the idol thereto had been extinguished",Ruling by Lower Court
"The appellants filed on the 18th August, 1950, an appeal against this judgment being Appeal No. 118 of 1950",Facts
"The idol filed on the 20th November, 1950, cross-objections against the decree for Rs",Facts
"19,000 and interest thereon as also the dismissal of the suit in regard to the premises",Facts
"The appeal, and the cross-objections came on for hearing before Harries C. J. and S. N. Banerjee J., who delivered judgment on the 5th March, 1951, dismissing the said appeal and allowing the cross-objection in regard to Rs",Ruling by Lower Court
"19,000 filed by the idol against the appellants",Ruling by Lower Court
In regard however to the cross-objection relating to premises,Ruling by Lower Court
Grey Street which was directed against Sushilabala and the two sons of jogendra the learned judges held that the cross-objection against the co-respondents was not maintainable and dismissed the same with costs,Ruling by Lower Court
"The appellants filed on the 31st May, 1951, an application for leave to prefer an appeal to this court against the said judgment and decree of the High Court at Calcutta",Facts
